id,lon,lat,depth_m,mea_ug_kg_orig
1169,12.498515,44.911262,5.0,114.0
1589,12.498515,44.911262,5.0,422.0
9577,14.035094,43.812991,5.0,22.0
9578,14.035094,43.812991,5.0,23.0
9579,14.035094,43.812991,5.0,23.0
9580,14.035094,43.812991,5.0,28.0
9581,14.035094,43.812991,5.0,32.0
9582,14.035094,43.812991,5.0,33.0
9583,14.035094,43.812991,5.0,34.0
9584,14.035094,43.812991,5.0,37.0
9585,14.035094,43.812991,5.0,48.0
9586,14.035094,43.812991,5.0,63.0
9587,14.035094,43.812991,5.0,64.0
9588,14.035094,43.812991,5.0,71.0
9589,14.035094,43.812991,5.0,76.0
9590,14.035094,43.812991,5.0,82.0
9591,14.035094,43.812991,5.0,106.0
9592,14.035094,43.812991,5.0,186.0
12050,15.883,43.733,8.0,4.0
12051,15.883,43.733,8.0,4.0
12052,15.883,43.733,8.0,6.0
12053,15.883,43.733,8.0,13.0
12054,15.883,43.733,8.0,15.0
12056,15.883,43.733,8.0,18.0
12071,15.854717,43.788714,8.0,2.0
12072,15.854717,43.788714,8.0,2.0
12073,15.854717,43.788714,8.0,3.0
12074,15.854717,43.788714,8.0,3.0
12075,15.854717,43.788714,8.0,5.0
12076,15.854717,43.788714,8.0,9.0
12077,15.854717,43.788714,8.0,10.0
12078,15.854717,43.788714,8.0,12.0
12079,15.854717,43.788714,8.0,16.0
12080,15.854717,43.788714,8.0,18.0
12137,13.987855999999999,44.896574,0.5,12.0
12139,13.987855999999999,44.896574,0.5,16.0
12143,13.987855999999999,44.896574,0.5,20.0
12144,13.987855999999999,44.896574,0.5,20.0
12187,14.055473000000001,45.009483,0.5,12.0
12188,14.055473000000001,45.009483,0.5,16.0
12189,14.055473000000001,45.009483,0.5,16.0
12190,14.055473000000001,45.009483,0.5,24.0
12284,14.55,45.183,1.0,38.0
12289,14.55,45.183,1.0,50.0
12295,14.55,45.183,1.0,80.0
12297,14.55,45.183,1.0,87.0
12322,14.3,45.317,1.0,29.0
